Datetime,Event,Value
2000-01-01T11:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-01T12:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T13:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T14:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T15:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-01T16:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T17:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T18:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T19:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T20:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T21:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T22:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T23:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T00:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T01:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T02:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T03:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T04:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T05:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T06:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T07:00:00,Stanford Sleepiness Self-Assessment (1-7),5
2000-01-02T08:00:00,Stanford Sleepiness Self-Assessment (1-7),5
2000-01-02T09:00:00,Stanford Sleepiness Self-Assessment (1-7),5
2000-01-02T10:00:00,Stanford Sleepiness Self-Assessment (1-7),4
2000-01-02T11:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T11:02:00,Sleep-2-Peak Reaction Time (ms),243
2000-01-02T10:02:00,Sleep-2-Peak Reaction Time (ms),302
2000-01-02T09:02:00,Sleep-2-Peak Reaction Time (ms),308
2000-01-02T08:02:00,Sleep-2-Peak Reaction Time (ms),302
2000-01-02T06:59:00,Sleep-2-Peak Reaction Time (ms),262
2000-01-02T06:02:00,Sleep-2-Peak Reaction Time (ms),316
2000-01-02T05:01:00,Sleep-2-Peak Reaction Time (ms),314
2000-01-02T04:06:00,Sleep-2-Peak Reaction Time (ms),312
2000-01-02T03:02:00,Sleep-2-Peak Reaction Time (ms),274
2000-01-02T02:02:00,Sleep-2-Peak Reaction Time (ms),276
2000-01-02T01:05:00,Sleep-2-Peak Reaction Time (ms),299
2000-01-02T00:03:00,Sleep-2-Peak Reaction Time (ms),275
2000-01-01T23:02:00,Sleep-2-Peak Reaction Time (ms),253
2000-01-01T22:02:00,Sleep-2-Peak Reaction Time (ms),271
2000-01-01T21:05:00,Sleep-2-Peak Reaction Time (ms),262
2000-01-01T20:01:00,Sleep-2-Peak Reaction Time (ms),266
2000-01-01T19:01:00,Sleep-2-Peak Reaction Time (ms),299
2000-01-01T18:02:00,Sleep-2-Peak Reaction Time (ms),280
2000-01-01T17:03:00,Sleep-2-Peak Reaction Time (ms),315
2000-01-01T16:02:00,Sleep-2-Peak Reaction Time (ms),302
2000-01-01T15:01:00,Sleep-2-Peak Reaction Time (ms),299
2000-01-01T14:02:00,Sleep-2-Peak Reaction Time (ms),269
2000-01-01T13:00:00,Sleep-2-Peak Reaction Time (ms),291
2000-01-01T12:02:00,Sleep-2-Peak Reaction Time (ms),286
2000-01-01T11:04:00,Sleep-2-Peak Reaction Time (ms),323
2000-01-01T11:30:00,Diary Entry (text),Hearthstone
2000-01-01T12:00:00,Diary Entry (text),Lunch
2000-01-01T12:45:00,Diary Entry (text),Youtube
2000-01-01T13:50:00,Diary Entry (text),Armello
2000-01-01T14:30:00,Diary Entry (text),Youtube
2000-01-01T15:00:00,Diary Entry (text),Overwatch
2000-01-01T16:00:00,Diary Entry (text),Lunch
2000-01-01T17:00:00,Diary Entry (text),Overwatch
2000-01-01T17:17:00,Diary Entry (text),Kingdom
2000-01-01T18:53:00,Diary Entry (text),Bathroom
2000-01-01T19:00:00,Diary Entry (text),Hearthstone
2000-01-01T20:35:00,Diary Entry (text),Stash 
2000-01-01T21:00:00,Diary Entry (text),Dinner
2000-01-01T21:20:00,Diary Entry (text),Kingdom
2000-01-01T23:25:00,Diary Entry (text),Anime
2000-01-01T23:51:00,Diary Entry (text),Headset came off
2000-01-02T00:00:00,Diary Entry (text),Work - programming
2000-01-02T00:40:00,Diary Entry (text),Silicon valley and programming
2000-01-02T02:02:00,Diary Entry (text),Coke
2000-01-02T02:10:00,Diary Entry (text),Break
2000-01-02T02:30:00,Diary Entry (text),End break
2000-01-02T03:15:00,Diary Entry (text),Tech issues
2000-01-02T03:30:00,Diary Entry (text),Programming
2000-01-02T05:40:00,Diary Entry (text),Youtube
2000-01-02T06:03:00,Diary Entry (text),Bathroom
2000-01-02T06:25:00,Diary Entry (text),Code and Youtube
2000-01-02T07:15:00,Diary Entry (text),Break
2000-01-02T08:11:00,Diary Entry (text),Break
2000-01-02T08:26:00,Diary Entry (text),Overwatch
2000-01-02T08:52:00,Diary Entry (text),Watching COD zombies
2000-01-02T09:16:00,Diary Entry (text),Break
2000-01-02T09:19:00,Diary Entry (text),Anime
2000-01-02T09:47:00,Diary Entry (text),Nap
2000-01-02T10:01:00,Diary Entry (text),Anime
2000-01-02T11:00:00,Diary Entry (text),Done
