Datetime,Event,Value
2000-01-01T11:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-01T12:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T13:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T14:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T15:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-01T16:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T17:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T18:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T19:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T20:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T21:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T22:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T23:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-02T00:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-02T01:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-02T02:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-02T03:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T04:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T05:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T06:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T07:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T08:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T09:00:00,Stanford Sleepiness Self-Assessment (1-7),4
2000-01-02T10:00:00,Stanford Sleepiness Self-Assessment (1-7),5
2000-01-02T11:00:00,Stanford Sleepiness Self-Assessment (1-7),5
2000-01-02T09:02:00,Sleep-2-Peak Reaction Time (ms),262
2000-01-02T08:02:00,Sleep-2-Peak Reaction Time (ms),251
2000-01-02T07:02:00,Sleep-2-Peak Reaction Time (ms),244
2000-01-02T06:02:00,Sleep-2-Peak Reaction Time (ms),306
2000-01-02T05:01:00,Sleep-2-Peak Reaction Time (ms),264
2000-01-02T04:04:00,Sleep-2-Peak Reaction Time (ms),256
2000-01-02T03:03:00,Sleep-2-Peak Reaction Time (ms),257
2000-01-02T02:03:00,Sleep-2-Peak Reaction Time (ms),268
2000-01-02T01:03:00,Sleep-2-Peak Reaction Time (ms),210
2000-01-02T00:03:00,Sleep-2-Peak Reaction Time (ms),222
2000-01-01T23:04:00,Sleep-2-Peak Reaction Time (ms),237
2000-01-01T22:03:00,Sleep-2-Peak Reaction Time (ms),246
2000-01-01T21:06:00,Sleep-2-Peak Reaction Time (ms),238
2000-01-01T20:02:00,Sleep-2-Peak Reaction Time (ms),268
2000-01-01T19:02:00,Sleep-2-Peak Reaction Time (ms),246
2000-01-01T18:03:00,Sleep-2-Peak Reaction Time (ms),394
2000-01-01T17:07:00,Sleep-2-Peak Reaction Time (ms),254
2000-01-01T16:02:00,Sleep-2-Peak Reaction Time (ms),306
2000-01-01T15:02:00,Sleep-2-Peak Reaction Time (ms),217
2000-01-01T14:09:00,Sleep-2-Peak Reaction Time (ms),238
2000-01-01T13:02:00,Sleep-2-Peak Reaction Time (ms),251
2000-01-01T12:02:00,Sleep-2-Peak Reaction Time (ms),225
2000-01-01T11:02:00,Sleep-2-Peak Reaction Time (ms),296
2000-01-01T12:00:00,Diary Entry (text),Lunch
2000-01-01T13:30:00,Diary Entry (text),Started arena run
2000-01-01T14:00:00,Diary Entry (text),Won tight game
2000-01-01T14:12:00,Diary Entry (text),Bombs starting
2000-01-01T14:34:00,Diary Entry (text),Bathroom
2000-01-01T15:00:00,Diary Entry (text),Bombs end
2000-01-01T15:09:00,Diary Entry (text),Opponent did silly thing
2000-01-01T15:10:00,Diary Entry (text),Close game!!!!
2000-01-01T15:44:00,Diary Entry (text),Won and close game
2000-01-01T16:00:00,Diary Entry (text),Break
2000-01-02T01:34:00,Diary Entry (text),Eating egg
2000-01-02T03:34:00,Diary Entry (text),Putting headphones over ear
2000-01-02T04:23:00,Diary Entry (text),Really cold
2000-01-02T05:16:00,Diary Entry (text),Teeth chattering
2000-01-02T05:46:00,Diary Entry (text),Still shivering
2000-01-02T05:52:00,Diary Entry (text),Feeling a bit warm again
2000-01-02T06:08:00,Diary Entry (text),Bit cold again
2000-01-02T06:15:00,Diary Entry (text),Back to warm
2000-01-02T06:33:00,Diary Entry (text),Tilted off the face of the earth
2000-01-02T07:25:00,Diary Entry (text),Bathroom break
2000-01-02T07:40:00,Diary Entry (text),Good with excitement 
2000-01-02T07:57:00,Diary Entry (text),Eating choc eggs
2000-01-02T08:26:00,Diary Entry (text),AGGRESSION
2000-01-02T10:45:00,Diary Entry (text),Cold again
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
