Datetime,Event,Value
2000-01-02T00:35:00,Diary Entry (text),"Struggled for a while in game, smoke break"
2000-01-02T00:45:00,Diary Entry (text),Back to Dark Souls
2000-01-02T01:01:00,Diary Entry (text),Killed boss
2000-01-02T02:01:00,Diary Entry (text),Stuck on area frustration
2000-01-02T02:10:00,Diary Entry (text),"Ear hurt, took break, smoke, toilet"
2000-01-02T03:15:00,Diary Entry (text),Killed boss
2000-01-02T04:20:00,Diary Entry (text),Unfortunately nothing
2000-01-02T05:01:00,Diary Entry (text),"Smoke, toilet, break, coffee"
2000-01-02T05:10:00,Diary Entry (text),Resumed new game
2000-01-02T06:20:00,Diary Entry (text),Listened to Rammstein
2000-01-02T06:45:00,Diary Entry (text),"Stopped playing, browsed the web"
2000-01-02T07:30:00,Diary Entry (text),Break
2000-01-02T07:40:00,Diary Entry (text),Return
,,
,,
,,
,,
,,
,,
