Datetime,Event,Value
2000-01-01T17:52:00,Diary Entry (text),DOOM (G)
2000-01-01T19:05:00,Diary Entry (text),Hearthstone (G) 
2000-01-01T19:25:00,Diary Entry (text),Data transfer
2000-01-01T20:06:00,Diary Entry (text),XCOM 2 (G)
2000-01-01T20:21:00,Diary Entry (text),Thumper (G)
2000-01-01T20:40:00,Diary Entry (text),"Break - Dinner, Restroom"
2000-01-01T21:40:00,Diary Entry (text),"Resumed, Slay the Spine (G)"
2000-01-01T23:05:00,Diary Entry (text),Football Manager 2017 (G)
2000-01-02T01:34:00,Diary Entry (text),Ate easter egg
2000-01-02T02:02:00,Diary Entry (text),Slay the Spine (G)
2000-01-02T02:38:00,Diary Entry (text),Thumper (G)
2000-01-02T02:57:00,Diary Entry (text),Thumper Lvl3 final boss
2000-01-02T04:23:00,Diary Entry (text),Thumper Lvl5 final boss
2000-01-02T05:05:00,Diary Entry (text),Thumper Lvl6 final boss
2000-01-02T05:30:00,Diary Entry (text),End of lvl6 boss (many retries)
2000-01-02T05:32:00,Diary Entry (text),Hearthstone (G) 
2000-01-02T06:31:00,Diary Entry (text),Started drinking Strangebrew
2000-01-02T08:02:00,Diary Entry (text),Restroom/breakfast break
2000-01-02T08:17:00,Diary Entry (text),Resumed Hearthstone
2000-01-02T08:31:00,Diary Entry (text),Nuclear throne (G)
2000-01-02T08:45:00,Diary Entry (text),Slay the Spine (G)
2000-01-02T09:04:00,Diary Entry (text),DOOM (G)
2000-01-02T09:27:00,Diary Entry (text),Hearthstone (G) 
2000-01-02T10:03:00,Diary Entry (text),Thumper (G)
2000-01-02T10:19:00,Diary Entry (text),Dead Cells (G)
2000-01-02T10:41:00,Diary Entry (text),Dead Cells boss battle
2000-01-02T10:47:00,Diary Entry (text),Hearthstone (G) 
