Datetime,Event,Value
2000-01-01T11:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T12:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T13:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T14:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T15:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T16:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T17:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T18:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T19:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T20:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T21:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T22:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T23:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-02T00:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-02T01:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T02:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T03:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T04:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T05:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T06:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T07:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T08:00:00,Stanford Sleepiness Self-Assessment (1-7),4
2000-01-02T09:00:00,Stanford Sleepiness Self-Assessment (1-7),4
2000-01-02T10:00:00,Stanford Sleepiness Self-Assessment (1-7),4
2000-01-02T11:00:00,Stanford Sleepiness Self-Assessment (1-7),4
2000-01-02T09:02:00,Sleep-2-Peak Reaction Time (ms),234
2000-01-02T08:02:00,Sleep-2-Peak Reaction Time (ms),240
2000-01-02T07:02:00,Sleep-2-Peak Reaction Time (ms),240
2000-01-02T06:01:00,Sleep-2-Peak Reaction Time (ms),246
2000-01-02T05:03:00,Sleep-2-Peak Reaction Time (ms),231
2000-01-02T04:03:00,Sleep-2-Peak Reaction Time (ms),235
2000-01-02T03:02:00,Sleep-2-Peak Reaction Time (ms),246
2000-01-02T02:02:00,Sleep-2-Peak Reaction Time (ms),221
2000-01-02T01:01:00,Sleep-2-Peak Reaction Time (ms),229
2000-01-02T00:02:00,Sleep-2-Peak Reaction Time (ms),224
2000-01-01T23:02:00,Sleep-2-Peak Reaction Time (ms),213
2000-01-01T22:02:00,Sleep-2-Peak Reaction Time (ms),236
2000-01-01T21:04:00,Sleep-2-Peak Reaction Time (ms),243
2000-01-01T20:03:00,Sleep-2-Peak Reaction Time (ms),242
2000-01-01T19:01:00,Sleep-2-Peak Reaction Time (ms),237
2000-01-01T18:02:00,Sleep-2-Peak Reaction Time (ms),257
2000-01-01T17:03:00,Sleep-2-Peak Reaction Time (ms),263
2000-01-01T16:02:00,Sleep-2-Peak Reaction Time (ms),282
2000-01-01T15:01:00,Sleep-2-Peak Reaction Time (ms),242
2000-01-01T14:02:00,Sleep-2-Peak Reaction Time (ms),283
2000-01-01T13:02:00,Sleep-2-Peak Reaction Time (ms),245
2000-01-01T12:05:00,Sleep-2-Peak Reaction Time (ms),329
2000-01-01T11:03:00,Sleep-2-Peak Reaction Time (ms),281
2000-01-01T12:05:00,Diary Entry (text),Break for lunch
2000-01-01T12:52:00,Diary Entry (text),Started recording
2000-01-01T13:02:00,Diary Entry (text),Started playing Heartstone (G)
2000-01-01T13:18:00,Diary Entry (text),Started playing Thumper (G)
2000-01-01T13:26:00,Diary Entry (text),Thumper Lvl1 final boss
2000-01-01T13:30:00,Diary Entry (text),Golfing Over It with Alva Mayu
2000-01-01T13:45:00,Diary Entry (text),Overwatch Dieno XL (G)
2000-01-01T14:10:00,Diary Entry (text),Keep talking and nobody explodes (G)
2000-01-01T15:04:00,Diary Entry (text),Hearthstone (G) 
2000-01-01T16:02:00,Diary Entry (text),"Restroom break, earpiece removed, numbing gel applied"
2000-01-01T17:00:00,Diary Entry (text),"Hooked up again, started playing Read Cells (G)"
